Food Environment Index,% With Access to Exercise Opportunities,% Uninsured,% Completed High School,% Some College,Average Daily PM2.5,Presence of Water Violation,% Food Insecure,Median Household Income,% Homeowners,Value
6.1,24,18,86,40,9,No,21,42649,82,257.8
6.2,24,15,86,64,9.1,No,17,61751,77,260.3
7.7,24,23,79,39,9.4,Yes,15,45446,68,187
5.9,24,21,83,45,9.6,Yes,18,42618,75,260
7.5,24,20,84,45,9.3,No,14,54219,76,203.8
8.1,24,7,89,51,6.5,Yes,13,51744,78,150.1
7.4,24,14,80,39,7.6,No,18,43115,80,209.5
6.4,24,12,84,51,8.3,No,17,44341,76,302.8
6.6,24,23,88,55,9.1,No,17,58056,76,200.1
7.5,24,6,88,54,5.8,No,12,50956,83,163.8
8.1,24,12,82,58,7.5,No,13,46149,77,180.6
7.1,24,10,87,48,7,Yes,14,53333,80,162.6
7.7,24,8,87,45,7,Yes,11,51757,81,195.2
7.2,25,13,83,53,9.2,Yes,16,50388,78,220.5
7.2,25,17,80,29,7.3,No,17,41450,83,158.5
6.6,25,14,84,45,9,No,17,42532,70,349.6
6.7,25,17,84,44,8.8,No,16,48198,83,227
8.1,25,9,90,76,6.2,No,6,59052,84,142.4
5.9,25,9,88,62,12.8,No,16,48669,62,151
7.3,25,17,79,48,7.2,No,17,40930,59,247.8
7.5,25,14,82,34,7.8,Yes,15,53738,82,230.9
6.7,25,22,86,48,9.6,Yes,17,61886,81,218
6.2,25,29,65,40,10.2,Yes,19,39876,70,151.7
6.8,25,12,73,44,7.5,No,20,35891,80,230.7
7.1,26,12,84,49,8.9,No,19,45937,75,224
6.8,26,12,81,50,9.2,No,17,41836,76,248.5
6.8,26,9,93,57,5.8,Yes,14,49502,73,136
6.6,26,17,83,56,8.2,No,21,35937,76,229.9
7.5,26,17,82,56,6.8,Yes,9,52590,66,176.6
5.4,26,10,81,40,8.9,Yes,18,37546,73,306.6
7.9,26,9,84,47,7.2,No,13,60617,71,199.7
7.4,26,9,90,57,8.5,No,15,51171,78,221.7
6.3,26,17,84,64,9.3,No,19,35567,80,203.1
7.3,26,18,87,50,7.7,No,17,36049,83,171.8
7.7,26,16,87,56,8.2,No,15,51348,73,190.5
3.9,26,16,89,53,8,No,16,46191,69,160.7
8.3,26,13,96,73,5.2,Yes,8,58201,77,132
8.2,26,12,90,64,6.2,Yes,13,50762,79,154.4
5.3,26,13,79,47,6.8,No,16,41889,71,180.8
7.3,26,10,84,44,8.9,No,17,57155,70,189.6
8.6,26,24,56,19,9,No,10,67967,78,188.9
6.3,26,8,83,36,8.2,No,16,52583,82,136.9
6.4,26,22,84,47,10.3,Yes,18,40632,72,283.4
8,26,19,88,60,6,Yes,13,44865,70,169.9
7.4,26,12,81,34,8.3,No,14,44937,69,236.3
6.8,26,12,81,34,7.5,No,17,48321,82,202.4
6.4,26,21,82,40,9.6,No,15,50879,72,221.3
6.3,26,25,87,48,8.6,No,17,52840,84,167.8
8.9,26,12,88,60,7.5,No,10,69907,79,173.1
7.6,26,10,81,41,7.3,No,10,48040,73,196.5
8.9,26,9,90,52,7.4,No,10,52450,81,154.5
